"@_fa"	"prism:url"	"dc:identifier"	"eid"	"dc:title"	"dc:creator"	"prism:publicationName"	"prism:issn"	"prism:eIssn"	"prism:pageRange"	"prism:coverDate"	"prism:coverDisplayDate"	"prism:doi"	"citedby-count"	"prism:aggregationType"	"subtype"	"subtypeDescription"	"source-id"	"openaccess"	"openaccessFlag"	"entry_number"	"prism:volume"	"prism:issueIdentifier"	"article-number"	"pubmed-id"	"pii"	"error"
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85071485929"	"SCOPUS_ID:85071485929"	"2-s2.0-85071485929"	"Water Management and Climate Change in the Focus of International Master Programs in Latin America and the Carribian"	"Reinstorf F."	"Climate Change Management"	"16102002"	"16102010"	"1-23"	"2019-01-01"	"2019"	"10.1007/978-3-319-98681-4_1"	"0"	"Book Series"	"ch"	"Chapter"	"21100925878"	"0"	"FALSE"	"1"	NA	NA	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85056591208"	"SCOPUS_ID:85056591208"	"2-s2.0-85056591208"	"OZCAR: The French network of critical zone observatories"	"Gaillardet J."	"Vadose Zone Journal"	NA	"15391663"	NA	"2018-11-29"	"29 November 2018"	"10.2136/vzj2018.04.0067"	"15"	"Journal"	"ar"	"Article"	"7200153151"	"1"	"TRUE"	"2"	"17"	"1"	"180067"	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85021126390"	"SCOPUS_ID:85021126390"	"2-s2.0-85021126390"	"Mobile gastrointestinal and endoscopic surgery in rural Ecuador: 20 years’ experience of Cinterandes"	"Shalabi H."	"Surgical Endoscopy"	"09302794"	"14322218"	"4964-4972"	"2017-12-01"	"1 December 2017"	"10.1007/s00464-016-4992-9"	"1"	"Journal"	"ar"	"Article"	"19196"	"0"	"FALSE"	"3"	"31"	"12"	NA	"28639040"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85024373336"	"SCOPUS_ID:85024373336"	"2-s2.0-85024373336"	"Forecasting distributions of an aquatic invasive species (Nitellopsis obtusa) under future climate scenarios"	"Romero-Alvarez D."	"PLoS ONE"	NA	"19326203"	NA	"2017-07-01"	"July 2017"	"10.1371/journal.pone.0180930"	"8"	"Journal"	"ar"	"Article"	"10600153309"	"1"	"TRUE"	"4"	"12"	"7"	"e0180930"	"28704433"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/85018423666"	"SCOPUS_ID:85018423666"	"2-s2.0-85018423666"	"Ecuadorian students’ conceptions and personal experience regarding water management issues"	"Liefländer A."	"Psyecology"	"21711976"	"19899386"	"25-40"	"2016-01-01"	"2016"	"10.1080/21711976.2015.1114216"	"1"	"Journal"	"ar"	"Article"	"21100197358"	"0"	"FALSE"	"5"	"7"	"1"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84928687348"	"SCOPUS_ID:84928687348"	"2-s2.0-84928687348"	"Integrating participatory community mobilization processes to improve dengue prevention: An eco-bio-social scaling up of local success in Machala, Ecuador"	"Mitchell-Foster K."	"Transactions of the Royal Society of Tropical Medicine and Hygiene"	"00359203"	"18783503"	"126-133"	"2014-01-01"	"2014"	"10.1093/trstmh/tru209"	"13"	"Journal"	"ar"	"Article"	"23046"	"1"	"TRUE"	"6"	"109"	"2"	NA	"25604763"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/84887824958"	"SCOPUS_ID:84887824958"	"2-s2.0-84887824958"	"Challenges to measuring, monitoring, and addressing the cumulative impacts of artisanal and small-scale gold mining in Ecuador"	"Adler Miserendino R."	"Resources Policy"	"03014207"	NA	"713-722"	"2013-12-01"	"December 2013"	"10.1016/j.resourpol.2013.03.007"	"27"	"Journal"	"ar"	"Article"	"110031"	"0"	"FALSE"	"7"	"38"	"4"	NA	NA	"S0301420713000202"	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/33846797259"	"SCOPUS_ID:33846797259"	"2-s2.0-33846797259"	"Prevention, control, and elimination of neglected diseases in the Americas: Pathways to integrated, inter-programmatic, inter-sectoral action for health and development"	"Holveck J."	"BMC Public Health"	NA	"14712458"	NA	"2007-03-09"	"2007"	"10.1186/1471-2458-7-6"	"72"	"Journal"	"re"	"Review"	"19621"	"1"	"TRUE"	"8"	"7"	NA	"6"	"17229324"	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/0038805571"	"SCOPUS_ID:0038805571"	"2-s2.0-0038805571"	"Management of environmental, social and health issues involving indigenous communities at the Villano project in the Ecuadorian Amazon Region"	"Vacas F."	"SPE Production and Facilities"	"1064668X"	NA	"92-96"	"2003-01-01"	"May 2003"	"10.2118/81831-PA"	"0"	"Journal"	"ar"	"Article"	"18906"	"0"	"FALSE"	"9"	"18"	"2"	NA	NA	NA	NA
"true"	"https://api.elsevier.com/content/abstract/scopus_id/0029211507"	"SCOPUS_ID:0029211507"	"2-s2.0-0029211507"	"Coastal resources management in Ecuador: an approach toward forms of sustainable development"	"Arriaga L."	"Coastal Zone: Proceedings of the Symposium on Coastal and Ocean Management"	NA	NA	"322-323"	"1995-01-01"	"1995"	NA	"0"	"Conference Proceeding"	"cp"	"Conference Paper"	"51368"	"0"	"FALSE"	"10"	NA	NA	NA	NA	NA	NA
